78697.830804479,00:1f:45:64:5d:11,eduroam,-73,78697761021
78697.830804479,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78697.940569583,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78697.940569583,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78697.940569583,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78697.940569583,00:1f:45:6c:93:31,eduroam,-63,78697760972
78697.940569583,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78697.940569583,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78697.940569583,00:1f:45:64:71:61,eduroam,-70,78697761007
78697.940569583,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78697.940569583,00:1f:45:64:71:60,SFUNET,-70,78697761011
78697.940569583,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78697.940569583,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78697.940569583,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78697.940569583,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78697.940569583,00:1f:45:64:5d:11,eduroam,-73,78697761021
78697.940569583,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.04687026,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.04687026,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.04687026,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.04687026,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.04687026,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.04687026,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.04687026,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.04687026,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.04687026,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.04687026,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.04687026,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.04687026,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.04687026,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.04687026,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.04687026,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.14497864501,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.14497864501,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.14497864501,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.14497864501,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.14497864501,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.14497864501,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.14497864501,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.14497864501,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.14497864501,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.14497864501,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.14497864501,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.14497864501,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.14497864501,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.14497864501,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.14497864501,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.227056979,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.227056979,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.227056979,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.227056979,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.227056979,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.227056979,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.227056979,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.227056979,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.227056979,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.227056979,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.227056979,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.227056979,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.227056979,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.227056979,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.227056979,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.33086406201,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.33086406201,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.33086406201,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.33086406201,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.33086406201,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.33086406201,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.33086406201,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.33086406201,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.33086406201,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.33086406201,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.33086406201,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.33086406201,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.33086406201,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.33086406201,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.33086406201,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.432025156,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.432025156,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.432025156,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.432025156,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.432025156,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.432025156,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.432025156,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.432025156,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.432025156,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.432025156,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.432025156,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.432025156,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.432025156,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.432025156,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.432025156,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.532186718,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.532186718,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.532186718,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.532186718,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.532186718,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.532186718,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.532186718,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.532186718,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.532186718,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.532186718,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.532186718,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.532186718,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.532186718,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.532186718,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.532186718,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.62979874901,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.62979874901,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.62979874901,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.62979874901,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.62979874901,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.62979874901,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.62979874901,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.62979874901,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.62979874901,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.62979874901,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.62979874901,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.62979874901,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.62979874901,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.62979874901,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.62979874901,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.72946848901,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.72946848901,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.72946848901,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.72946848901,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.72946848901,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.72946848901,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.72946848901,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.72946848901,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.72946848901,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.72946848901,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.72946848901,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.72946848901,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.72946848901,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
78698.72946848901,00:1f:45:64:5d:11,eduroam,-73,78697761021
78698.72946848901,00:1f:45:64:5e:c9,eduroam,-73,78697761030
78698.829307655,ac:3f:a4:65:a6:b8,THETAXS00120529.OSC,-35,78697760945
78698.829307655,00:1f:45:6c:93:30,SFUNET,-62,78697760959
78698.829307655,00:1f:45:6c:93:32,SFUNET-SECURE,-63,78697760967
78698.829307655,00:1f:45:6c:93:31,eduroam,-63,78697760972
78698.829307655,96:53:30:17:1f:2f,DIRECT-2f-HP M402 LaserJet,-63,78697760978
78698.829307655,00:1f:45:64:71:62,SFUNET-SECURE,-70,78697761001
78698.829307655,00:1f:45:64:71:61,eduroam,-70,78697761007
78698.829307655,00:1f:45:64:71:6a,SFUNET-SECURE,-70,78697761036
78698.829307655,00:1f:45:64:71:60,SFUNET,-70,78697761011
78698.829307655,00:1f:45:64:5d:12,SFUNET-SECURE,-71,78697760982
78698.829307655,00:1f:45:64:5d:10,SFUNET,-72,78697761016
78698.829307655,00:1f:45:6c:93:38,SFUNET,-72,78697761025
78698.829307655,00:1f:45:64:5a:7a,SFUNET-SECURE,-73,78697761057
